Camera,Date,X_center,Y_center,Width,Height
1,2024-02-21 04:00:00,0.747396,0.2825,0.223958,0.361
1,2024-02-21 04:00:00,0.327604,0.8415,0.20625,0.301
7,2024-02-23 00:30:00,0.459896,0.7475,0.236458,0.469
2,2024-02-09 15:30:00,0.835677,0.5505,0.207813,0.405
2,2024-02-09 15:30:00,0.644531,0.398,0.180729,0.408
2,2024-02-23 23:30:00,0.159635,0.627,0.166146,0.478
2,2024-01-25 17:30:00,0.70651,0.477,0.207813,0.316
2,2024-01-25 17:30:00,0.897135,0.539,0.192188,0.472
2,2024-02-19 02:15:00,0.426042,0.872,0.311458,0.238
2,2024-02-19 02:15:00,0.540365,0.63,0.274479,0.3
2,2024-02-19 02:15:00,0.469531,0.4885,0.131771,0.177
4,2024-02-24 11:15:00,0.422396,0.1925,0.10625,0.217
4,2024-02-24 11:15:00,0.17526,0.1685,0.111979,0.191
4,2024-02-24 11:15:00,0.1,0.176,0.0666667,0.15
7,2024-01-30 20:30:00,0.654948,0.7555,0.208854,0.365
2,2024-01-29 16:30:00,0.829427,0.5375,0.214062,0.285
2,2024-01-29 16:30:00,0.660677,0.394,0.174479,0.376
2,2024-01-29 02:45:00,0.432552,0.883,0.177604,0.192
2,2024-01-29 02:45:00,0.646094,0.732,0.229687,0.282
2,2024-01-29 02:45:00,0.311719,0.5895,0.234896,0.233
2,2024-02-05 18:30:00,0.785677,0.447,0.177604,0.302
2,2024-02-05 18:30:00,0.130469,0.5195,0.151562,0.301
2,2024-02-05 18:30:00,0.21276,0.7975,0.238021,0.395
7,2024-02-04 17:30:00,0.686458,0.4215,0.282292,0.467
7,2024-02-04 17:30:00,0.873437,0.773,0.253125,0.454
7,2024-01-28 15:30:00,0.495312,0.223,0.169792,0.372
7,2024-01-28 15:30:00,0.929427,0.5655,0.141146,0.503
7,2024-02-10 19:30:00,0.307031,0.175,0.0994792,0.312
7,2024-02-10 19:30:00,0.422656,0.264,0.106771,0.34
2,2024-02-24 02:00:00,0.357292,0.494,0.178125,0.236
2,2024-02-24 02:00:00,0.533073,0.57,0.153646,0.22
2,2024-02-24 02:00:00,0.689844,0.802,0.286979,0.39
7,2024-02-25 01:00:00,0.563034,0.260984,0.254595,0.385965
7,2024-02-25 01:00:00,0.929927,0.58031,0.140146,0.553071
1,2024-02-26 21:30:00,0.741146,0.228,0.175,0.35
1,2024-02-26 21:30:00,0.609896,0.255,0.161458,0.294
1,2024-02-26 21:30:00,0.708333,0.1245,0.205208,0.215
2,2024-02-11 20:30:00,0.107031,0.33,0.155729,0.318
2,2024-02-11 20:30:00,0.809115,0.4755,0.131771,0.473
2,2024-02-11 20:30:00,0.708594,0.5695,0.207813,0.259
1,2024-02-26 02:15:00,0.798177,0.33,0.134896,0.466
1,2024-02-26 02:15:00,0.366667,0.8105,0.225,0.371
2,2024-02-16 00:30:00,0.492219,0.645345,0.190892,0.503559
6,2024-02-06 13:15:00,0.380208,0.299,0.01875,0.03
6,2024-02-06 13:15:00,0.416667,0.2995,0.0354167,0.043
6,2024-02-16 14:45:00,0.700781,0.396,0.0796875,0.12
6,2024-02-16 14:45:00,0.771094,0.402,0.0619792,0.142
6,2024-02-16 14:45:00,0.73724,0.4005,0.0401042,0.123
7,2024-01-27 14:45:00,0.813281,0.3925,0.170313,0.411
7,2024-01-27 14:45:00,0.926562,0.662,0.146875,0.568
4,2024-02-12 12:15:00,0.472396,0.068,0.078125,0.136
4,2024-02-12 12:15:00,0.201302,0.0895,0.0848958,0.163
4,2024-02-23 13:00:00,0.0505208,0.266,0.0958333,0.19
4,2024-02-23 13:00:00,0.126042,0.111,0.0583333,0.12
4,2024-02-23 13:00:00,0.186198,0.081,0.0692708,0.086
4,2024-01-22 12:45:00,0.958594,0.263,0.0828125,0.302
7,2024-02-18 22:30:00,0.388341,0.112804,0.178803,0.225313
7,2024-02-18 22:30:00,0.0694402,0.921451,0.137851,0.153856
2,2024-02-19 21:30:00,0.403906,0.5135,0.203646,0.283
2,2024-02-19 21:30:00,0.29974,0.4125,0.131771,0.415
2,2024-02-27 19:30:00,0.678906,0.3795,0.272396,0.389
2,2024-02-12 01:00:00,0.384896,0.4905,0.210417,0.237
2,2024-02-12 01:00:00,0.754948,0.5945,0.190104,0.315
2,2024-02-12 01:00:00,0.645573,0.707,0.246354,0.43
7,2024-02-26 20:30:00,0.40026,0.71,0.205729,0.578
7,2024-02-26 20:30:00,0.786719,0.511,0.307812,0.428
7,2024-02-25 18:30:00,0.321046,0.338676,0.233265,0.56149
7,2024-02-25 18:30:00,0.487705,0.356422,0.123322,0.408625
2,2024-01-22 23:30:00,0.719792,0.95,0.252083,0.084
2,2024-01-22 23:30:00,0.897135,0.6355,0.199479,0.419
2,2024-02-24 03:45:00,0.384135,0.500742,0.254062,0.461429
2,2024-02-24 03:45:00,0.679607,0.81189,0.264352,0.326257
2,2024-02-24 17:30:00,0.150537,0.625301,0.220258,0.475174
2,2024-02-11 14:45:00,0.664323,0.3975,0.165104,0.451
2,2024-02-11 14:45:00,0.784375,0.377,0.0958333,0.276
2,2024-02-11 14:45:00,0.895573,0.482,0.172396,0.528
1,2024-01-24 12:15:00,0.840104,0.53,0.308333,0.524
1,2024-01-24 12:15:00,0.779948,0.2885,0.209896,0.365
2,2024-01-29 03:00:00,0.646094,0.732,0.229687,0.282
2,2024-01-29 03:00:00,0.311719,0.5895,0.234896,0.233
2,2024-01-29 03:00:00,0.416406,0.708,0.225521,0.538
4,2024-02-09 13:15:00,0.0997396,0.1195,0.0838542,0.153
4,2024-02-09 13:15:00,0.154427,0.097,0.0557292,0.136
4,2024-02-09 13:15:00,0.190625,0.194,0.0895833,0.206
2,2024-02-05 01:00:00,0.701823,0.565,0.172396,0.25
2,2024-02-05 01:00:00,0.602604,0.874,0.311458,0.234
2,2024-02-05 01:00:00,0.295052,0.6705,0.213021,0.257
6,2024-02-20 12:00:00,0.634375,0.4535,0.075,0.169
6,2024-02-20 12:00:00,0.131771,0.4005,0.0541667,0.069
6,2024-02-20 12:00:00,0.394792,0.337,0.0427083,0.044
2,2024-02-03 00:30:00,0.496354,0.2335,0.147917,0.253
2,2024-02-03 00:30:00,0.164844,0.762,0.169271,0.472
6,2024-02-11 13:15:00,0.320833,0.3625,0.0375,0.037
6,2024-02-11 13:15:00,0.306771,0.344,0.0583333,0.058
4,2024-02-05 12:15:00,0.0684896,0.194,0.0723958,0.194
4,2024-02-05 12:15:00,0.0179687,0.2045,0.0359375,0.137
7,2024-01-30 14:45:00,0.673958,0.4265,0.260417,0.391
7,2024-01-30 14:45:00,0.394271,0.2205,0.1,0.363
1,2024-02-21 01:45:00,0.522135,0.773,0.309896,0.36
1,2024-02-21 01:45:00,0.313542,0.817,0.191667,0.34
1,2024-01-27 02:15:00,0.597135,0.715,0.249479,0.562
1,2024-01-27 02:15:00,0.485677,0.58,0.315104,0.334
7,2024-02-13 17:30:00,0.851823,0.498,0.144271,0.536
7,2024-02-26 14:45:00,0.421615,0.231,0.0869792,0.356
7,2024-02-26 14:45:00,0.492969,0.2415,0.0963542,0.351
7,2024-02-07 19:30:00,0.784115,0.637,0.279687,0.438
7,2024-02-07 19:30:00,0.253646,0.844,0.492708,0.312
