                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.732,                 1.6502,                 1.6674,                  0.858,                0.74463,                0.81344,                0.40614,                 1.7436,                 1.2236,                 1.6931,              0.0006626,              0.0006626,              0.0006626
                      2,                 1.4603,                0.96331,                 1.4551,                 0.8256,                0.83312,                0.86892,                0.47718,                   1.55,                 1.1836,                 1.5172,              0.0013029,              0.0013029,              0.0013029
                      3,                 1.4582,                0.90838,                  1.468,                0.86962,                0.79076,                0.85852,                 0.4574,                 1.5887,                 1.0641,                 1.5749,              0.0019169,              0.0019169,              0.0019169
                      4,                 1.4863,                0.87009,                 1.4734,                0.88227,                0.80488,                0.89652,                0.49566,                 1.5693,                0.87977,                 1.5719,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4375,                0.83236,                 1.4491,                0.89392,                0.87626,                0.93245,                0.53806,                 1.5238,                 0.8098,                  1.533,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4394,                0.81623,                 1.4471,                 0.8563,                0.85677,                0.91538,                0.51204,                 1.5472,                0.75641,                 1.5392,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4045,                0.80772,                 1.4266,                0.86269,                0.83881,                0.91153,                0.53086,                 1.4877,                0.85368,                 1.4875,               0.001802,               0.001802,               0.001802
                      8,                 1.3713,                0.73858,                 1.4153,                0.92783,                 0.8747,                0.94142,                0.56727,                 1.4678,                0.68861,                 1.4814,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3478,                0.70815,                 1.3914,                0.91429,                0.89217,                0.93541,                0.55192,                  1.476,                0.68899,                  1.509,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3242,                0.68981,                 1.3937,                0.92344,                0.87933,                0.93539,                0.54638,                 1.4837,                0.68356,                  1.488,              0.0016832,              0.0016832,              0.0016832
