                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.028,                0.52705,                 1.1802,                0.92467,                0.91391,                0.93883,                0.54691,                 1.5193,                0.62462,                 1.5575,              0.0006626,              0.0006626,              0.0006626
                      2,                 1.1537,                0.60224,                 1.2631,                0.89612,                0.88318,                0.92844,                0.54161,                 1.5117,                0.69602,                  1.535,              0.0013161,              0.0013161,              0.0013161
                      3,                 1.2202,                0.66906,                 1.3187,                0.91811,                0.89602,                0.93812,                0.54111,                 1.4981,                0.78519,                 1.5184,              0.0019564,              0.0019564,              0.0019564
                      4,                 1.2774,                 0.7025,                 1.3431,                0.90332,                0.88753,                0.93511,                0.55302,                 1.4863,                0.69238,                 1.5031,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2602,                0.67961,                 1.3382,                0.89225,                0.88226,                0.91229,                0.51862,                  1.513,                0.86956,                 1.5381,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2744,                0.68099,                  1.339,                0.90274,                0.89362,                 0.9287,                0.53159,                 1.5752,                0.67294,                 1.5677,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2531,                0.67221,                 1.3261,                0.93995,                 0.8973,                0.94946,                0.56302,                 1.4749,                0.66112,                 1.5051,               0.001901,               0.001901,               0.001901
                      8,                 1.2554,                0.64923,                 1.3377,                0.93186,                0.91284,                0.94775,                0.56788,                 1.4873,                0.65943,                 1.4935,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.241,                0.64411,                 1.3209,                0.90879,                0.88252,                 0.9293,                0.52638,                 1.5336,                0.68655,                 1.5507,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.202,                0.61567,                 1.3115,                  0.916,                0.89217,                0.94169,                0.56208,                 1.4868,                0.69416,                 1.4915,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2197,                0.63126,                 1.3123,                0.92108,                0.88447,                 0.9313,                0.55905,                 1.4526,                0.67067,                 1.4755,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2322,                0.61953,                 1.3105,                0.92333,                0.89659,                0.93871,                0.56279,                 1.5056,                0.65645,                 1.5042,               0.001802,               0.001802,               0.001802
                     13,                 1.1967,                0.59825,                 1.2922,                0.91994,                0.92169,                0.95441,                0.56978,                 1.4774,                0.61436,                 1.4989,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1913,                0.60478,                 1.2884,                0.90989,                0.92032,                0.94746,                0.55686,                 1.4994,                 0.6527,                 1.5178,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2005,                  0.617,                 1.2999,                 0.9133,                0.90596,                0.94742,                 0.5637,                 1.4631,                0.66044,                 1.4618,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1815,                0.60265,                  1.289,                0.90887,                0.91142,                0.94124,                0.56805,                 1.4617,                0.67093,                 1.4929,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1446,                0.57802,                 1.2811,                0.93792,                0.90244,                0.95021,                0.57641,                 1.4417,                 0.5955,                 1.4711,               0.001703,               0.001703,               0.001703
                     18,                 1.1704,                0.57905,                 1.2847,                0.90848,                0.91656,                0.94064,                0.58064,                 1.4697,                0.61317,                 1.4696,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.148,                0.56901,                 1.2659,                0.93054,                0.91151,                 0.9478,                 0.5757,                 1.4341,                0.61821,                 1.4594,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1485,                0.56519,                 1.2739,                0.92156,                0.92004,                 0.9413,                0.57401,                 1.4662,                0.62715,                 1.4824,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1182,                0.56709,                 1.2451,                0.92862,                0.91784,                0.94799,                0.57903,                 1.4549,                0.59537,                 1.4737,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1238,                0.55744,                  1.254,                0.92041,                0.92298,                0.95131,                0.57654,                 1.4535,                0.61042,                 1.4841,               0.001604,               0.001604,               0.001604
                     23,                 1.1114,                0.55315,                 1.2483,                 0.9275,                0.93196,                0.95676,                0.60132,                 1.4276,                0.57716,                 1.4521,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1142,                0.56001,                 1.2517,                0.93328,                0.91574,                0.95112,                0.58816,                 1.4435,                0.59623,                 1.4855,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.104,                0.54028,                 1.2414,                0.92503,                0.91913,                0.94655,                0.58485,                 1.4484,                0.60049,                 1.4754,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0891,                0.54088,                 1.2313,                0.92835,                0.91475,                0.94832,                0.58355,                   1.46,                0.60041,                 1.4905,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0979,                0.53203,                  1.222,                0.94216,                0.91142,                0.95143,                0.57161,                 1.4775,                0.58956,                 1.4818,               0.001505,               0.001505,               0.001505
                     28,                  1.088,                0.53599,                 1.2405,                0.93226,                 0.9187,                0.95474,                0.59319,                 1.4061,                0.58208,                 1.4428,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0701,                0.52864,                 1.2254,                0.93514,                 0.8973,                0.95058,                0.58246,                 1.4384,                0.59957,                 1.4789,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.061,                0.51956,                 1.2093,                0.93326,                0.91014,                0.95408,                0.59311,                 1.4667,                0.58779,                 1.4875,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0814,                0.53676,                 1.2315,                0.92872,                0.93453,                0.95727,                0.58919,                 1.4668,                0.58945,                 1.4934,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0591,                 0.5254,                 1.2093,                0.92798,                 0.9294,                0.95146,                0.58063,                 1.4542,                0.59413,                 1.4935,               0.001406,               0.001406,               0.001406
                     33,                 1.0492,                0.51223,                 1.2041,                0.91605,                0.92455,                0.95048,                0.57942,                 1.4606,                0.57307,                 1.5017,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0458,                0.51551,                 1.2107,                0.93515,                0.92552,                0.95287,                0.57557,                 1.4852,                0.57778,                 1.5073,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0219,                0.49718,                 1.1873,                0.92534,                 0.9371,                0.95475,                0.58557,                 1.4464,                0.55939,                 1.4883,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0166,                 0.4853,                 1.1749,                 0.9323,                 0.9371,                0.95232,                0.58314,                 1.4587,                0.57469,                 1.4974,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0059,                0.48551,                 1.1649,                0.94021,                 0.9371,                0.95421,                0.58482,                 1.4374,                0.56551,                 1.4646,               0.001307,               0.001307,               0.001307
                     38,                 1.0198,                0.49304,                 1.1814,                0.93739,                0.92555,                0.95239,                0.58781,                 1.4236,                0.56313,                 1.4735,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0171,                0.48523,                 1.1761,                0.92307,                0.91913,                0.94845,                0.58003,                 1.4583,                0.58107,                 1.4895,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0026,                0.48789,                 1.1729,                0.91616,                0.92555,                0.94864,                0.58194,                 1.4536,                0.56781,                 1.4929,              0.0012476,              0.0012476,              0.0012476
